page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    2048   230  icc     3   8  image  no         9  0   847   818 28.7K 2.1%
   1     1 smask    2048   230  gray    1   8  image  no         9  0   847   818 14.9K 3.2%
  19     2 image    2000  1000  icc     3   8  image  no       258  0   308   308 81.0K 1.4%
  23     3 image    2000   960  icc     3   8  image  no       269  0   308   307 92.8K 1.7%
  24     4 image    2000   980  icc     3   8  image  no       272  0   308   308  119K 2.1%
  28     5 image    1896  2048  icc     3   8  image  no       281  0   292   291  444K 3.9%
  29     6 image    1896  2048  icc     3   8  image  no       284  0   292   291  402K 3.5%
  31     7 image    2000  1160  icc     3   8  image  no       289  0   308   308  101K 1.5%
  37     8 image    2000  1200  icc     3   8  image  no       313  0   308   307 53.9K 0.8%
  39     9 image    2000  1300  icc     3   8  image  no       322  0   308   308  155K 2.0%
  48    10 image    2000   827  icc     3   8  image  no       363  0   308   307 96.9K 2.0%
  49    11 image    2000  1300  icc     3   8  image  no       367  0   308   308  120K 1.6%
  50    12 image    2000  1300  icc     3   8  image  no       371  0   308   308  101K 1.3%
  51    13 image    2000   760  icc     3   8  image  no       374  0   308   308 66.9K 1.5%
  53    14 image    2048  1024  icc     3   8  image  no       382  0   315   315  105K 1.7%
  54    15 image    2048  1058  icc     3   8  image  no       386  0   309   309  160K 2.5%
  55    16 image    2048  1069  icc     3   8  image  no       391  0   315   316  102K 1.6%
  55    17 smask    2048  1069  gray    1   8  image  no       391  0   315   316 2146B 0.1%
  57    18 image    2000  1200  icc     3   8  image  no       398  0   296   295 89.7K 1.3%
  63    19 image    2000  1834  icc     3   8  image  no       431  0   308   308  295K 2.7%
  71    20 image    2000  1200  icc     3   8  image  no       479  0   308   307  139K 2.0%
  71    21 image    2000  1200  icc     3   8  image  no       480  0   308   307  125K 1.8%
  72    22 image    2000  1200  icc     3   8  image  no       483  0   308   307 70.1K 1.0%
  83    23 image    2000  1220  icc     3   8  image  no       531  0   308   308  118K 1.7%
  98    24 image    1642   958  icc     3   8  image  no       607  0   253   253  138K 3.0%
  99    25 image    2000   854  icc     3   8  image  no       610  0   308   307 95.2K 1.9%
  99    26 image    2000  1080  icc     3   8  image  no       611  0   308   308 77.3K 1.2%
 101    27 image    2000  1200  icc     3   8  image  no       617  0   308   307  107K 1.5%
 102    28 image    2000  1200  icc     3   8  image  no       620  0   308   307 88.8K 1.3%
 104    29 image    2000  1406  icc     3   8  image  no       625  0   308   307  148K 1.8%
 107    30 image    2000   898  icc     3   8  image  no       632  0   308   308  100K 1.9%
 107    31 image    2000   626  icc     3   8  image  no       633  0   308   308 64.9K 1.8%
 108    32 image    1248    54  icc     3   8  image  no       636  0   192   192 13.5K 6.9%
 108    33 image    2000   626  icc     3   8  image  no       637  0   308   308 66.6K 1.8%
 108    34 image    2000   626  icc     3   8  image  no       638  0   308   308 62.1K 1.7%
 108    35 image    2000   626  icc     3   8  image  no       639  0   308   308 52.8K 1.4%
 109    36 image    1248    54  icc     3   8  image  no       636  0   192   192 13.5K 6.9%
 109    37 image    2000   626  icc     3   8  image  no       642  0   308   308 64.3K 1.8%
 109    38 image    2000   626  icc     3   8  image  no       643  0   308   308 48.5K 1.3%
 111    39 image    2000   898  icc     3   8  image  no       650  0   308   308 93.0K 1.8%
 112    40 image    2000   826  icc     3   8  image  no       653  0   308   309 80.8K 1.7%
 112    41 image    2000   626  icc     3   8  image  no       654  0   308   308 62.6K 1.7%
 112    42 image    2000   626  icc     3   8  image  no       655  0   308   308 43.1K 1.2%
 114    43 image    2000   898  icc     3   8  image  no       661  0   308   308 95.6K 1.8%
 114    44 image    2000   626  icc     3   8  image  no       662  0   308   308 64.2K 1.8%
 114    45 image    2000   626  icc     3   8  image  no       663  0   308   308 61.1K 1.7%
 115    46 image    1266    54  icc     3   8  image  no       666  0   195   192 13.6K 6.8%
 115    47 image    2000   626  icc     3   8  image  no       667  0   308   308 35.6K 1.0%
 116    48 image    2000   826  icc     3   8  image  no       670  0   308   309 87.3K 1.8%
 116    49 image    2000   626  icc     3   8  image  no       671  0   308   308 66.7K 1.8%
 117    50 image    2000   826  icc     3   8  image  no       674  0   308   309 81.0K 1.7%
 118    51 image    1224    32  icc     3   8  image  no       678  0   188   192 13.8K  12%
 118    52 image    2000   626  icc     3   8  image  no       679  0   308   308 58.8K 1.6%
 118    53 image    2000   626  icc     3   8  image  no       680  0   308   308 56.4K 1.5%
 118    54 image    2000   626  icc     3   8  image  no       681  0   308   308 28.6K 0.8%
 120    55 image    2000   826  icc     3   8  image  no       686  0   308   309 93.6K 1.9%
 121    56 image    2000   899  icc     3   8  image  no       689  0   308   308 97.8K 1.9%
 121    57 image    2000   626  icc     3   8  image  no       690  0   308   308 68.9K 1.9%
 122    58 image    2000  1100  icc     3   8  image  no       693  0   308   308 85.3K 1.3%
 123    59 image    2000   960  icc     3   8  image  no       696  0   308   307 98.7K 1.8%
 124    60 image    2000  1100  icc     3   8  image  no       699  0   308   308 89.7K 1.4%
 125    61 image    2000  1052  icc     3   8  image  no       702  0   308   308  112K 1.8%
 126    62 image    2028  1100  icc     3   8  image  no       705  0   312   312 77.1K 1.2%
 126    63 image    2028  1100  icc     3   8  image  no       706  0   312   312 95.3K 1.5%
 129    64 image    1998  2048  icc     3   8  image  no       716  0   307   307  910K 7.6%
 130    65 image    2000  1542  icc     3   8  image  no       719  0   308   308  173K 1.9%
 132    66 image    2000  1260  icc     3   8  image  no       726  0   308   308  121K 1.6%
 134    67 image    2000  1260  icc     3   8  image  no       734  0   299   299 98.7K 1.3%
 135    68 image    2000  1200  icc     3   8  image  no       737  0   308   307  106K 1.5%
 138    69 image    1500  1540  icc     3   8  image  no       747  0   221   221  161K 2.4%
 143    70 image    2000  1798  icc     3   8  image  no       763  0   308   308  212K 2.0%
 149    71 image    1950  2048  icc     3   8  image  no       779  0   300   300  246K 2.1%
 150    72 image    1924  2048  icc     3   8  image  no       782  0   296   296  572K 5.0%
 150    73 smask    1924  2048  gray    1   8  image  no       782  0   296   296 7591B 0.2%
 154    74 image    2000  1929  icc     3   8  image  no       792  0   308   308  325K 2.9%
 155    75 image    2000  1600  icc     3   8  image  no       795  0   308   308  258K 2.8%
 156    76 image    2000  1966  icc     3   8  image  no       799  0   308   308  142K 1.2%
 157    77 image    2000  1000  icc     3   8  image  no       802  0   308   308 78.3K 1.3%
 158    78 image    2000  1521  icc     3   8  image  no       805  0   308   307  174K 1.9%
 161    79 image    2000   827  icc     3   8  image  no       812  0   308   307 82.4K 1.7%
 162    80 image    2000  1009  icc     3   8  image  no       815  0   297   296  163K 2.8%
 163    81 image    2000  1360  icc     3   8  image  no       818  0   308   308  108K 1.4%
 166    82 image    1878  2048  icc     3   8  image  no       831  0   289   289  333K 3.0%
 170    83 image    2000  1300  icc     3   8  image  no       843  0   308   308  130K 1.7%
 173    84 image    2000  1300  icc     3   8  image  no       854  0   308   308  121K 1.6%
 174    85 image    2000  1200  icc     3   8  image  no       857  0   308   307 73.0K 1.0%
 175    86 image    2000  1240  icc     3   8  image  no       860  0   308   308  101K 1.4%
 177    87 image    2000  1200  icc     3   8  image  no       867  0   307   307  139K 2.0%
 178    88 image    2000  1200  icc     3   8  image  no       870  0   307   307  145K 2.1%
 179    89 image    2000  1200  icc     3   8  image  no       874  0   308   307  133K 1.9%
 181    90 image    2000  1400  icc     3   8  image  no       882  0   308   308  194K 2.4%
 182    91 image    2000  1400  icc     3   8  image  no       885  0   308   308  172K 2.1%
 185    92 image    2000  1320  icc     3   8  image  no       897  0   308   308 93.4K 1.2%
 186    93 image    2000  1440  icc     3   8  image  no       900  0   308   308  126K 1.5%
 187    94 image    2000  1320  icc     3   8  image  no       906  0   308   308  101K 1.3%
 188    95 image    2000  1440  icc     3   8  image  no       909  0   308   308  147K 1.7%
 189    96 image    2000  1200  icc     3   8  image  no       913  0   308   307 84.1K 1.2%
 190    97 image    2000  1400  icc     3   8  image  no       917  0   308   308 94.2K 1.1%
 191    98 image    2000  1320  icc     3   8  image  no       922  0   308   308 87.8K 1.1%
 196    99 image    2000  1120  icc     3   8  image  no       942  0   308   308 75.5K 1.2%
 197   100 image    2000  1160  icc     3   8  image  no       945  0   308   308  114K 1.7%
 197   101 image    2000  1160  icc     3   8  image  no       946  0   308   308  116K 1.7%
 198   102 image    2000  1200  icc     3   8  image  no       950  0   308   307 79.4K 1.1%
 199   103 image    2000  1200  icc     3   8  image  no       955  0   308   307 88.5K 1.3%
 200   104 image    2000  1200  icc     3   8  image  no       959  0   308   307 71.5K 1.0%
 201   105 image    2000  1200  icc     3   8  image  no       962  0   308   307 77.5K 1.1%
 205   106 image    1690  2048  icc     3   8  image  no       975  0   260   260  386K 3.8%
