page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    2048   230  icc     3   8  image  no         7  0   847   818 28.7K 2.1%
   1     1 smask    2048   230  gray    1   8  image  no         7  0   847   818 14.9K 3.2%
  26     2 image    2000   975  icc     3   8  image  no       356  0   308   308  103K 1.8%
  26     3 image    2000   975  icc     3   8  image  no       357  0   308   308  105K 1.8%
  30     4 image    1896  2048  icc     3   8  image  no       366  0   292   291  430K 3.8%
  31     5 image    1896  2048  icc     3   8  image  no       369  0   292   291  329K 2.9%
  33     6 image    2000  1160  icc     3   8  image  no       374  0   308   308  113K 1.7%
  47     7 image    2000  1500  icc     3   8  image  no       420  0   308   308  193K 2.2%
  50     8 image    2000  1200  icc     3   8  image  no       431  0   308   307 89.5K 1.3%
  62     9 image    2048  1146  icc     3   8  image  no       493  0   315   315  152K 2.2%
  63    10 image    2000  1120  icc     3   8  image  no       497  0   308   308 93.5K 1.4%
  64    11 image    2000  1120  icc     3   8  image  no       503  0   308   308 89.8K 1.4%
  69    12 image    2048  1152  icc     3   8  image  no       515  0   315   315 97.3K 1.4%
  74    13 image    2048   661  icc     3   8  image  no       534  0   315   316  184K 4.6%
  74    14 image    2048   612  icc     3   8  image  no       535  0   315   314  175K 4.8%
  74    15 image    2048   612  icc     3   8  image  no       536  0   315   314  169K 4.6%
  74    16 image    2048   568  icc     3   8  image  no       537  0   315   316 95.2K 2.8%
  84    17 image    2000  1025  icc     3   8  image  no       576  0   308   308 91.9K 1.5%
  93    18 image    2000  1280  icc     3   8  image  no       608  0   308   307  107K 1.4%
 111    19 image    1875  2048  icc     3   8  image  no       727  0   288   289  335K 3.0%
 111    20 smask    1875  2048  gray    1   8  image  no       727  0   288   289 7626B 0.2%
 112    21 image    1875  2048  icc     3   8  image  no       731  0   288   289  311K 2.8%
 112    22 smask    1875  2048  gray    1   8  image  no       731  0   288   289 7626B 0.2%
 113    23 image    2048   739  icc     3   8  image  no       735  0   315   315 76.8K 1.7%
 115    24 image    2000   852  icc     3   8  image  no       742  0   308   309 80.3K 1.6%
 116    25 image    1875  2048  icc     3   8  image  no       746  0   288   289  266K 2.4%
 116    26 smask    1875  2048  gray    1   8  image  no       746  0   288   289 7626B 0.2%
 119    27 image    1875  2048  icc     3   8  image  no       755  0   288   289  286K 2.5%
 119    28 smask    1875  2048  gray    1   8  image  no       755  0   288   289 7626B 0.2%
 122    29 image    2000  1519  icc     3   8  image  no       768  0   308   308  131K 1.5%
 124    30 image    1875  2048  icc     3   8  image  no       776  0   288   289  270K 2.4%
 124    31 smask    1875  2048  gray    1   8  image  no       776  0   288   289 7626B 0.2%
 126    32 image    1875  2048  icc     3   8  image  no       783  0   288   289  308K 2.7%
 126    33 smask    1875  2048  gray    1   8  image  no       783  0   288   289 7626B 0.2%
