page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    2048   230  icc     3   8  image  no         9  0   847   818 28.7K 2.1%
   1     1 smask    2048   230  gray    1   8  image  no         9  0   847   818 14.9K 3.2%
  19     2 image    2000   953  icc     3   8  image  no       255  0   308   308 80.9K 1.4%
  19     3 image    2000   957  icc     3   8  image  no       256  0   308   307  103K 1.8%
  23     4 image    1896  2048  icc     3   8  image  no       266  0   291   291  419K 3.7%
  24     5 image    1896  2048  icc     3   8  image  no       269  0   291   291  344K 3.0%
  26     6 image    2000  1160  icc     3   8  image  no       275  0   308   308 99.7K 1.5%
  31     7 image    2000  1500  icc     3   8  image  no       303  0   308   308  188K 2.1%
  39     8 image    2000  1240  icc     3   8  image  no       343  0   308   307  114K 1.6%
  41     9 image    2000  1300  icc     3   8  image  no       350  0   308   308  102K 1.3%
  42    10 image    2000  1300  icc     3   8  image  no       353  0   308   308 73.0K 1.0%
  44    11 image    2048  1315  icc     3   8  image  no       359  0   315   316 95.4K 1.2%
  47    12 image    2000  1198  icc     3   8  image  no       367  0   308   308  118K 1.7%
  48    13 image    2000  1240  icc     3   8  image  no       371  0   308   308 75.8K 1.0%
  49    14 image    2000  1240  icc     3   8  image  no       377  0   308   308 84.6K 1.2%
  51    15 image    2000  1240  icc     3   8  image  no       383  0   308   308 75.2K 1.0%
  55    16 image    2000  1834  icc     3   8  image  no       406  0   308   308  284K 2.6%
  63    17 image    2000  1200  icc     3   8  image  no       441  0   308   307  140K 2.0%
  64    18 image    2000  1200  icc     3   8  image  no       446  0   308   307  121K 1.7%
  64    19 image    2000  1200  icc     3   8  image  no       447  0   308   307 67.8K 1.0%
  74    20 image    2048  1030  icc     3   8  image  no       481  0   315   316  119K 1.9%
  74    21 smask    2048  1030  gray    1   8  image  no       481  0   315   316 2071B 0.1%
  76    22 image    2048  1144  icc     3   8  image  no       489  0   315   316  163K 2.4%
  77    23 image    2048   824  icc     3   8  image  no       492  0   315   315 93.3K 1.9%
  88    24 image    2048  1157  icc     3   8  image  no       545  0   305   305  310K 4.5%
  88    25 smask    2048  1157  gray    1   8  image  no       545  0   305   305 2323B 0.1%
  94    26 image    1591  2048  icc     3   8  image  no       563  0   245   245  400K 4.2%
  94    27 smask    1591  2048  gray    1   8  image  no       563  0   245   245 6834B 0.2%
  95    28 image    2000  1889  icc     3   8  image  no       567  0   308   308  289K 2.6%
  98    29 image    2000   826  icc     3   8  image  no       576  0   308   309 81.6K 1.7%
  99    30 image    2000   826  icc     3   8  image  no       579  0   308   309 79.0K 1.6%
  99    31 image    2000   626  icc     3   8  image  no       580  0   308   308 59.9K 1.6%
  99    32 image    2000   626  icc     3   8  image  no       581  0   308   308 45.1K 1.2%
 101    33 image    2000   682  icc     3   8  image  no       586  0   308   307 82.7K 2.1%
 101    34 image    2000   605  icc     3   8  image  no       587  0   308   307 63.4K 1.8%
 101    35 image    2000   566  icc     3   8  image  no       588  0   308   309 62.8K 1.9%
 101    36 image    2000   605  icc     3   8  image  no       589  0   308   307 36.6K 1.0%
 103    37 image    2000   826  icc     3   8  image  no       595  0   308   309 84.7K 1.7%
 103    38 image    2000   626  icc     3   8  image  no       596  0   308   308 65.0K 1.8%
 104    39 image    2000   682  icc     3   8  image  no       599  0   308   307 77.1K 1.9%
 104    40 image    2000   566  icc     3   8  image  no       600  0   308   309 58.1K 1.8%
 105    41 image    2000    97  icc     3   8  image  no       604  0   308   300 15.6K 2.7%
 105    42 image    2000   566  icc     3   8  image  no       605  0   308   309 57.4K 1.7%
 105    43 image    2000   566  icc     3   8  image  no       606  0   308   309 28.1K 0.8%
 107    44 image    2000   826  icc     3   8  image  no       611  0   308   309 92.2K 1.9%
 107    45 image    2000   626  icc     3   8  image  no       612  0   308   308 63.0K 1.7%
 110    46 image    2000  1100  icc     3   8  image  no       620  0   308   308 85.6K 1.3%
 111    47 image    2000   960  icc     3   8  image  no       623  0   308   307 94.6K 1.7%
 112    48 image    2000  1100  icc     3   8  image  no       626  0   308   308 66.6K 1.0%
 113    49 image    2000  1300  icc     3   8  image  no       629  0   308   308  107K 1.4%
 114    50 image    2000  1200  icc     3   8  image  no       632  0   308   307 92.0K 1.3%
 115    51 image    2000  1200  icc     3   8  image  no       635  0   308   307 98.1K 1.4%
 117    52 image    2000  1736  icc     3   8  image  no       644  0   308   308  238K 2.3%
 118    53 image    2000  1530  icc     3   8  image  no       647  0   292   293  192K 2.1%
 119    54 image    2000  2028  icc     3   8  image  no       650  0   293   293  249K 2.1%
 121    55 image    2000  1500  icc     3   8  image  no       655  0   308   308  102K 1.2%
 122    56 image    2000  1360  icc     3   8  image  no       658  0   308   308 75.1K 0.9%
 126    57 image    2000  1734  icc     3   8  image  no       671  0   308   308  203K 2.0%
 132    58 image    1950  2048  icc     3   8  image  no       686  0   300   300  236K 2.0%
 133    59 image    2000  2039  icc     3   8  image  no       689  0   308   308  310K 2.6%
 138    60 image    1932  2048  icc     3   8  image  no       702  0   297   297  527K 4.5%
 139    61 image    2000  1600  icc     3   8  image  no       705  0   308   308  260K 2.8%
 140    62 image    2000  2039  icc     3   8  image  no       708  0   308   308  135K 1.1%
 141    63 image    2000  1000  icc     3   8  image  no       711  0   308   308 81.0K 1.4%
 143    64 image    2000  1569  icc     3   8  image  no       717  0   308   308  224K 2.4%
 146    65 image    2000   869  icc     3   8  image  no       724  0   308   308 77.5K 1.5%
 147    66 image    2000  1073  icc     3   8  image  no       727  0   308   308  158K 2.5%
 148    67 image    2000  1240  icc     3   8  image  no       733  0   308   308 92.4K 1.3%
 150    68 image    2000   826  icc     3   8  image  no       746  0   308   309 77.6K 1.6%
 151    69 image    2000    97  icc     3   8  image  no       749  0   308   300 15.6K 2.7%
 151    70 image    2000   626  icc     3   8  image  no       750  0   308   308 53.9K 1.5%
 151    71 image    2000   626  icc     3   8  image  no       751  0   308   308 61.4K 1.7%
 151    72 image    2000   626  icc     3   8  image  no       752  0   308   308 23.4K 0.6%
 154    73 image    2000  1320  icc     3   8  image  no       764  0   308   308  151K 1.9%
 155    74 image    2000  1019  icc     3   8  image  no       767  0   308   309  152K 2.5%
 156    75 image    2000  1019  icc     3   8  image  no       770  0   308   309  156K 2.6%
 158    76 image    2000  1200  icc     3   8  image  no       777  0   308   307 71.2K 1.0%
 159    77 image    2000  1280  icc     3   8  image  no       781  0   308   307 96.5K 1.3%
 161    78 image    2000  1300  icc     3   8  image  no       788  0   308   308  152K 2.0%
 162    79 image    2000  1300  icc     3   8  image  no       791  0   308   308  158K 2.1%
 163    80 image    2000  1300  icc     3   8  image  no       795  0   308   308  143K 1.9%
 164    81 image    2000  1300  icc     3   8  image  no       798  0   308   308  152K 2.0%
 165    82 image    2000  1300  icc     3   8  image  no       802  0   308   308  227K 3.0%
 166    83 image    2000  1300  icc     3   8  image  no       806  0   308   308  154K 2.0%
 167    84 image    2004  1336  icc     3   8  image  no       810  0   308   308  158K 2.0%
 168    85 image    2004  1336  icc     3   8  image  no       815  0   308   308  165K 2.1%
 170    86 image    2000  1400  icc     3   8  image  no       822  0   308   308  196K 2.4%
 171    87 image    2000  1400  icc     3   8  image  no       825  0   308   308  184K 2.2%
 174    88 image    2000  1200  icc     3   8  image  no       838  0   308   307 84.0K 1.2%
 175    89 image    2000  1320  icc     3   8  image  no       841  0   308   308  118K 1.5%
 176    90 image    2000  1200  icc     3   8  image  no       847  0   308   307 94.8K 1.3%
 177    91 image    2000  1320  icc     3   8  image  no       850  0   308   308  137K 1.8%
 178    92 image    2000   840  icc     3   8  image  no       854  0   308   307 70.3K 1.4%
 178    93 image    2000  1000  icc     3   8  image  no       855  0   308   308 92.1K 1.6%
 180    94 image    2000  1320  icc     3   8  image  no       862  0   308   308  112K 1.5%
 184    95 image    2000  1200  icc     3   8  image  no       877  0   308   307 83.2K 1.2%
 185    96 image    2000  1160  icc     3   8  image  no       880  0   308   308  134K 2.0%
 186    97 image    2000  1160  icc     3   8  image  no       883  0   308   308  133K 2.0%
 187    98 image    2000  1160  icc     3   8  image  no       886  0   308   308  119K 1.7%
 188    99 image    2000  1200  icc     3   8  image  no       890  0   308   307 89.8K 1.3%
 189   100 image    2000  1200  icc     3   8  image  no       894  0   308   307  101K 1.4%
 190   101 image    2000  1200  icc     3   8  image  no       898  0   307   307 87.0K 1.2%
 191   102 image    2000   840  icc     3   8  image  no       904  0   308   307 68.9K 1.4%
 191   103 image    2000   840  icc     3   8  image  no       905  0   308   307 71.3K 1.4%
 194   104 image    1751  2048  icc     3   8  image  no       913  0   269   270  367K 3.5%
